path	class
agents/adversarial-verifier.md	kit-adapted
agents/code-implementer.md	kit-adapted
agents/codebase-memory-auditor.md	first-party
agents/codebase-memory-scout.md	first-party
agents/codebase-memory.md	first-party
agents/council-ada.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-aristotle.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-aurelius.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-feynman.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-kahneman.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-karpathy.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-lao-tzu.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-machiavelli.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-meadows.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-munger.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-musashi.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-rams.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-socrates.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-sun-tzu.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-sutskever.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-taleb.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-torvalds.md	copy:sandbox-kit/council-of-high-intelligence/
agents/council-watts.md	copy:sandbox-kit/council-of-high-intelligence/
agents/evidence-gatherer.md	kit-adapted
agents/hive-builder.md	copy:sandbox-kit/honey-for-devs/
agents/hive-reviewer.md	copy:sandbox-kit/honey-for-devs/
agents/hive-scout.md	copy:sandbox-kit/honey-for-devs/
commands/fetch-bookmarks.md	first-party
commands/wiki-capture.md	copy:sandbox-kit/llm-wiki-compiler/
commands/wiki-compile.md	copy:sandbox-kit/llm-wiki-compiler/
commands/wiki-global-init.md	copy:sandbox-kit/llm-wiki-compiler/
commands/wiki-ingest.md	first-party
commands/wiki-init.md	copy:sandbox-kit/llm-wiki-compiler/
commands/wiki-lint.md	copy:sandbox-kit/llm-wiki-compiler/
commands/wiki-migrate.md	copy:sandbox-kit/llm-wiki-compiler/
commands/wiki-query.md	copy:sandbox-kit/llm-wiki-compiler/
commands/wiki-search.md	copy:sandbox-kit/llm-wiki-compiler/
commands/wiki-upgrade.md	copy:sandbox-kit/llm-wiki-compiler/
commands/wiki-visualize.md	first-party
hooks/edit-snapshot.py	kit-adapted
hooks/graft-first-nag.py	kit-adapted
hooks/search-intercept.py	first-party
hooks/session-start.sh	kit-adapted
hooks/system1-context.py	first-party
hooks/system1-situations.json	first-party
hooks/turn-retro-gate.sh	kit-adapted
hooks/wiki-context.py	kit-adapted
output-styles/PROVENANCE.md	copy:sandbox-kit/output-styles/
output-styles/attention-kind.md	copy:sandbox-kit/output-styles/
output-styles/rundown.md	copy:sandbox-kit/output-styles/
output-styles/spartan.md	copy:sandbox-kit/output-styles/
settings.json	kit-adapted
skills/0-autoresearch-skill/SKILL.md	kit-verbatim
